room_type,neighbourhood,date,search_count
Private room,Oud-Oost,2018-11-26,6
Private room,Watergraafsmeer,2018-11-26,13
Entire home/apt,Westerpark,2018-11-26,3
Private room,Slotervaart,2018-11-26,4
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-26,9
Entire home/apt,Bijlmer-Centrum,2018-11-26,24
Entire home/apt,De Aker - Nieuw Sloten,2018-11-26,4
Entire home/apt,Oud-Noord,2018-11-26,1
Private room,Bijlmer-Centrum,2018-11-26,24
Shared room,Centrum-Oost,2018-11-26,10
Private room,De Baarsjes - Oud-West,2018-11-26,27
Entire home/apt,Watergraafsmeer,2018-11-26,11
Private room,Buitenveldert - Zuidas,2018-11-26,1
Private room,Zuid,2018-11-26,17
Private room,Westerpark,2018-11-26,24
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-26,16
Entire home/apt,Oud-Oost,2018-11-26,11
Private room,Centrum-West,2018-11-26,36
Entire home/apt,Bos en Lommer,2018-11-26,17
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-26,15
Entire home/apt,IJburg - Zeeburgereiland,2018-11-26,10
Private room,De Pijp - Rivierenbuurt,2018-11-26,23
Private room,De Aker - Nieuw Sloten,2018-11-26,2
Private room,IJburg - Zeeburgereiland,2018-11-26,1
Entire home/apt,Centrum-West,2018-11-26,7
Private room,Bos en Lommer,2018-11-26,7
Entire home/apt,Centrum-Oost,2018-11-26,19
Entire home/apt,Geuzenveld - Slotermeer,2018-11-26,1
Private room,Noord-West,2018-11-26,21
Entire home/apt,De Baarsjes - Oud-West,2018-11-25,20
Private room,Noord-West,2018-11-25,35
Entire home/apt,Gaasperdam - Driemond,2018-11-25,21
Shared room,De Baarsjes - Oud-West,2018-11-25,19
Private room,Osdorp,2018-11-25,4
Private room,Slotervaart,2018-11-25,26
Entire home/apt,Noord-West,2018-11-25,2
Entire home/apt,Bos en Lommer,2018-11-25,8
Entire home/apt,Slotervaart,2018-11-25,5
Entire home/apt,Oud-Noord,2018-11-25,3
Entire home/apt,Watergraafsmeer,2018-11-25,1
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-25,9
Private room,De Baarsjes - Oud-West,2018-11-25,18
Private room,Zuid,2018-11-25,3
Entire home/apt,De Aker - Nieuw Sloten,2018-11-25,14
Entire home/apt,Oud-Oost,2018-11-25,14
Private room,Oud-Noord,2018-11-25,6
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-25,10
Private room,Westerpark,2018-11-25,12
Private room,IJburg - Zeeburgereiland,2018-11-25,12
Private room,Noord-Oost,2018-11-25,12
Private room,Buitenveldert - Zuidas,2018-11-25,27
Entire home/apt,Centrum-Oost,2018-11-25,6
Private room,Bos en Lommer,2018-11-25,19
Entire home/apt,Zuid,2018-11-25,9
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-25,7
Entire home/apt,Westerpark,2018-11-25,16
Private room,De Aker - Nieuw Sloten,2018-11-25,4
Private room,De Pijp - Rivierenbuurt,2018-11-25,17
Entire home/apt,Centrum-West,2018-11-25,30
Private room,Centrum-West,2018-11-25,24
Private room,Bijlmer-Centrum,2018-11-25,18
Private room,Oud-Oost,2018-11-25,6
Private room,Centrum-Oost,2018-11-25,25
Private room,Noord-Oost,2018-11-24,23
Entire home/apt,Oud-Noord,2018-11-24,9
Private room,Oud-Oost,2018-11-24,19
Entire home/apt,Centrum-West,2018-11-24,20
Private room,Slotervaart,2018-11-24,3
Private room,Bos en Lommer,2018-11-24,7
Private room,De Baarsjes - Oud-West,2018-11-24,18
Private room,IJburg - Zeeburgereiland,2018-11-24,1
Entire home/apt,Osdorp,2018-11-24,4
Entire home/apt,Centrum-Oost,2018-11-24,11
Entire home/apt,Zuid,2018-11-24,26
Private room,Centrum-Oost,2018-11-24,16
Entire home/apt,De Baarsjes - Oud-West,2018-11-24,12
Private room,Westerpark,2018-11-24,18
Entire home/apt,Buitenveldert - Zuidas,2018-11-24,8
Private room,Oud-Noord,2018-11-24,17
Private room,Watergraafsmeer,2018-11-24,7
Private room,Zuid,2018-11-24,3
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-24,4
Private room,Bijlmer-Oost,2018-11-24,15
Entire home/apt,Noord-Oost,2018-11-24,16
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-24,23
Private room,De Pijp - Rivierenbuurt,2018-11-24,6
Private room,Geuzenveld - Slotermeer,2018-11-24,9
Entire home/apt,De Aker - Nieuw Sloten,2018-11-24,14
Entire home/apt,Bos en Lommer,2018-11-24,8
Private room,Centrum-West,2018-11-24,22
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-24,28
Entire home/apt,IJburg - Zeeburgereiland,2018-11-24,5
Entire home/apt,Geuzenveld - Slotermeer,2018-11-24,12
Private room,Gaasperdam - Driemond,2018-11-24,17
Private room,Bijlmer-Centrum,2018-11-24,1
Entire home/apt,Slotervaart,2018-11-24,9
Private room,Osdorp,2018-11-24,8
Entire home/apt,Oud-Oost,2018-11-24,2
Entire home/apt,Westerpark,2018-11-24,11
Private room,De Aker - Nieuw Sloten,2018-11-24,4
Entire home/apt,Watergraafsmeer,2018-11-23,10
Private room,Oud-Oost,2018-11-23,17
Private room,Noord-Oost,2018-11-23,26
Entire home/apt,Westerpark,2018-11-23,14
Shared room,Gaasperdam - Driemond,2018-11-23,1
Private room,Watergraafsmeer,2018-11-23,17
Private room,Bijlmer-Oost,2018-11-23,11
Private room,De Baarsjes - Oud-West,2018-11-23,16
Private room,Bijlmer-Centrum,2018-11-23,14
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-23,21
Private room,Centrum-West,2018-11-23,50
Entire home/apt,De Aker - Nieuw Sloten,2018-11-23,8
Entire home/apt,Centrum-West,2018-11-23,56
Entire home/apt,Zuid,2018-11-23,25
Entire home/apt,Bijlmer-Centrum,2018-11-23,17
Private room,De Pijp - Rivierenbuurt,2018-11-23,31
Private room,Noord-West,2018-11-23,5
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-23,16
Entire home/apt,Noord-West,2018-11-23,26
Private room,Geuzenveld - Slotermeer,2018-11-23,11
Entire home/apt,Bos en Lommer,2018-11-23,12
Entire home/apt,IJburg - Zeeburgereiland,2018-11-23,2
Private room,Gaasperdam - Driemond,2018-11-23,4
Entire home/apt,Oud-Oost,2018-11-23,9
Private room,Westerpark,2018-11-23,20
Private room,Zuid,2018-11-23,29
Private room,Centrum-Oost,2018-11-23,29
Private room,Bos en Lommer,2018-11-23,7
Private room,IJburg - Zeeburgereiland,2018-11-23,31
Private room,Oud-Noord,2018-11-23,15
Entire home/apt,Oud-Noord,2018-11-23,19
Entire home/apt,Buitenveldert - Zuidas,2018-11-23,16
Entire home/apt,Centrum-Oost,2018-11-23,24
Entire home/apt,Slotervaart,2018-11-23,4
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-23,28
Private room,Osdorp,2018-11-23,7
Entire home/apt,Gaasperdam - Driemond,2018-11-23,16
Entire home/apt,Noord-Oost,2018-11-23,7
Private room,De Aker - Nieuw Sloten,2018-11-23,25
Entire home/apt,De Baarsjes - Oud-West,2018-11-23,42
Private room,Slotervaart,2018-11-23,21
Entire home/apt,IJburg - Zeeburgereiland,2018-11-22,17
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-22,66
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-22,14
Private room,Slotervaart,2018-11-22,25
Entire home/apt,De Baarsjes - Oud-West,2018-11-22,95
Entire home/apt,Zuid,2018-11-22,52
Private room,Oud-Oost,2018-11-22,34
Private room,Noord-West,2018-11-22,16
Entire home/apt,Gaasperdam - Driemond,2018-11-22,19
Private room,Westerpark,2018-11-22,18
Entire home/apt,Noord-West,2018-11-22,4
Entire home/apt,Centrum-West,2018-11-22,46
Private room,Bijlmer-Oost,2018-11-22,4
Entire home/apt,Bijlmer-Centrum,2018-11-22,13
Private room,De Baarsjes - Oud-West,2018-11-22,43
Entire home/apt,Oud-Oost,2018-11-22,27
Private room,Osdorp,2018-11-22,36
Private room,De Aker - Nieuw Sloten,2018-11-22,6
Private room,Geuzenveld - Slotermeer,2018-11-22,22
Private room,Gaasperdam - Driemond,2018-11-22,10
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-22,35
Private room,Noord-Oost,2018-11-22,13
Private room,Watergraafsmeer,2018-11-22,11
Entire home/apt,Bos en Lommer,2018-11-22,45
Entire home/apt,Geuzenveld - Slotermeer,2018-11-22,11
Shared room,De Baarsjes - Oud-West,2018-11-22,17
Entire home/apt,Slotervaart,2018-11-22,18
Entire home/apt,Oud-Noord,2018-11-22,11
Entire home/apt,Watergraafsmeer,2018-11-22,7
Shared room,Noord-West,2018-11-22,26
Entire home/apt,Centrum-Oost,2018-11-22,42
Entire home/apt,Noord-Oost,2018-11-22,9
Shared room,Gaasperdam - Driemond,2018-11-22,8
Private room,Bos en Lommer,2018-11-22,36
Private room,Oud-Noord,2018-11-22,11
Private room,IJburg - Zeeburgereiland,2018-11-22,9
Entire home/apt,De Aker - Nieuw Sloten,2018-11-22,14
Entire home/apt,Osdorp,2018-11-22,12
Private room,Buitenveldert - Zuidas,2018-11-22,19
Private room,Bijlmer-Centrum,2018-11-22,28
Entire home/apt,Westerpark,2018-11-22,35
Private room,Centrum-West,2018-11-22,67
Private room,De Pijp - Rivierenbuurt,2018-11-22,47
Private room,Zuid,2018-11-22,11
Private room,Centrum-Oost,2018-11-22,40
Entire home/apt,Buitenveldert - Zuidas,2018-11-22,6
Shared room,Slotervaart,2018-11-21,1
Entire home/apt,Centrum-Oost,2018-11-21,14
Private room,Noord-Oost,2018-11-21,4
Entire home/apt,Buitenveldert - Zuidas,2018-11-21,14
Private room,Osdorp,2018-11-21,1
Entire home/apt,Zuid,2018-11-21,14
Private room,Gaasperdam - Driemond,2018-11-21,2
Private room,Bos en Lommer,2018-11-21,15
Entire home/apt,Oud-Noord,2018-11-21,28
Private room,Zuid,2018-11-21,15
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-21,7
Entire home/apt,Oud-Oost,2018-11-21,9
Private room,Slotervaart,2018-11-21,12
Private room,Centrum-Oost,2018-11-21,35
Private room,Bijlmer-Oost,2018-11-21,2
Private room,IJburg - Zeeburgereiland,2018-11-21,6
Private room,Westerpark,2018-11-21,4
Entire home/apt,IJburg - Zeeburgereiland,2018-11-21,13
Private room,Oud-Noord,2018-11-21,21
Entire home/apt,De Baarsjes - Oud-West,2018-11-21,19
Entire home/apt,Bijlmer-Centrum,2018-11-21,1
Private room,Noord-West,2018-11-21,7
Entire home/apt,De Aker - Nieuw Sloten,2018-11-21,7
Private room,Bijlmer-Centrum,2018-11-21,4
Entire home/apt,Geuzenveld - Slotermeer,2018-11-21,2
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-21,22
Entire home/apt,Noord-West,2018-11-21,10
Private room,De Pijp - Rivierenbuurt,2018-11-21,26
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-21,28
Entire home/apt,Westerpark,2018-11-21,15
Private room,De Baarsjes - Oud-West,2018-11-21,33
Private room,Buitenveldert - Zuidas,2018-11-21,16
Private room,De Aker - Nieuw Sloten,2018-11-21,3
Entire home/apt,Noord-Oost,2018-11-21,15
Private room,Centrum-West,2018-11-21,24
Private room,Oud-Oost,2018-11-21,7
Entire home/apt,Watergraafsmeer,2018-11-21,23
Entire home/apt,Slotervaart,2018-11-21,20
Entire home/apt,Centrum-West,2018-11-21,24
Entire home/apt,Bos en Lommer,2018-11-21,11
Private room,Watergraafsmeer,2018-11-21,14
Entire home/apt,Centrum-West,2018-11-20,37
Private room,Osdorp,2018-11-20,10
Private room,Slotervaart,2018-11-20,12
Entire home/apt,Watergraafsmeer,2018-11-20,8
Private room,Oud-Oost,2018-11-20,4
Entire home/apt,Bijlmer-Centrum,2018-11-20,6
Private room,Westerpark,2018-11-20,5
Entire home/apt,Centrum-Oost,2018-11-20,23
Entire home/apt,Geuzenveld - Slotermeer,2018-11-20,14
Entire home/apt,De Aker - Nieuw Sloten,2018-11-20,2
Entire home/apt,Osdorp,2018-11-20,1
Private room,De Pijp - Rivierenbuurt,2018-11-20,15
Private room,Centrum-West,2018-11-20,50
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-20,19
Private room,Oud-Noord,2018-11-20,16
Entire home/apt,Slotervaart,2018-11-20,6
Private room,IJburg - Zeeburgereiland,2018-11-20,13
Entire home/apt,Oud-Noord,2018-11-20,24
Private room,Buitenveldert - Zuidas,2018-11-20,7
Private room,Centrum-Oost,2018-11-20,27
Entire home/apt,Westerpark,2018-11-20,18
Entire home/apt,Zuid,2018-11-20,19
Entire home/apt,Noord-West,2018-11-20,2
Private room,Geuzenveld - Slotermeer,2018-11-20,26
Entire home/apt,Bos en Lommer,2018-11-20,18
Private room,De Aker - Nieuw Sloten,2018-11-20,16
Private room,Gaasperdam - Driemond,2018-11-20,4
Entire home/apt,De Baarsjes - Oud-West,2018-11-20,22
Shared room,Bos en Lommer,2018-11-20,11
Private room,De Baarsjes - Oud-West,2018-11-20,45
Private room,Bijlmer-Centrum,2018-11-20,2
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-20,8
Private room,Bijlmer-Oost,2018-11-20,7
Entire home/apt,Oud-Oost,2018-11-20,16
Private room,Bos en Lommer,2018-11-20,13
Private room,Noord-West,2018-11-20,21
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-20,37
Entire home/apt,IJburg - Zeeburgereiland,2018-11-20,1
Private room,Zuid,2018-11-20,29
Entire home/apt,Noord-Oost,2018-11-20,12
Private room,Centrum-Oost,2018-11-19,28
Private room,Geuzenveld - Slotermeer,2018-11-19,18
Entire home/apt,Centrum-Oost,2018-11-19,13
Private room,Bos en Lommer,2018-11-19,8
Private room,Bijlmer-Centrum,2018-11-19,2
Entire home/apt,Centrum-West,2018-11-19,44
Private room,De Aker - Nieuw Sloten,2018-11-19,21
Entire home/apt,Slotervaart,2018-11-19,3
Entire home/apt,Bos en Lommer,2018-11-19,28
Private room,Buitenveldert - Zuidas,2018-11-19,4
Private room,Osdorp,2018-11-19,2
Private room,Gaasperdam - Driemond,2018-11-19,1
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-19,2
Private room,De Pijp - Rivierenbuurt,2018-11-19,24
Private room,Noord-West,2018-11-19,8
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-19,18
Private room,Westerpark,2018-11-19,16
Entire home/apt,Oud-Oost,2018-11-19,17
Private room,Zuid,2018-11-19,15
Entire home/apt,Geuzenveld - Slotermeer,2018-11-19,12
Entire home/apt,Noord-West,2018-11-19,1
Entire home/apt,IJburg - Zeeburgereiland,2018-11-19,1
Entire home/apt,Bijlmer-Oost,2018-11-19,1
Private room,Noord-Oost,2018-11-19,2
Private room,Watergraafsmeer,2018-11-19,1
Private room,Centrum-West,2018-11-19,56
Private room,De Baarsjes - Oud-West,2018-11-19,16
Private room,Oud-Noord,2018-11-19,7
Entire home/apt,Watergraafsmeer,2018-11-19,14
Shared room,Bos en Lommer,2018-11-19,24
Entire home/apt,Oud-Noord,2018-11-19,3
Entire home/apt,Zuid,2018-11-19,11
Private room,Oud-Oost,2018-11-19,11
Entire home/apt,De Aker - Nieuw Sloten,2018-11-19,17
Entire home/apt,Westerpark,2018-11-19,24
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-19,36
Shared room,De Baarsjes - Oud-West,2018-11-19,1
Entire home/apt,Noord-Oost,2018-11-19,21
Private room,Slotervaart,2018-11-19,14
Entire home/apt,De Baarsjes - Oud-West,2018-11-19,33
Private room,Bijlmer-Oost,2018-11-19,3
Entire home/apt,Zuid,2018-11-18,37
Entire home/apt,Noord-Oost,2018-11-18,7
Entire home/apt,Bijlmer-Centrum,2018-11-18,27
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-18,38
Private room,Oud-Noord,2018-11-18,31
Entire home/apt,Noord-West,2018-11-18,20
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-18,4
Private room,Zuid,2018-11-18,29
Private room,Bijlmer-Oost,2018-11-18,2
Private room,Slotervaart,2018-11-18,18
Entire home/apt,Oud-Oost,2018-11-18,19
Private room,De Baarsjes - Oud-West,2018-11-18,10
Shared room,Bos en Lommer,2018-11-18,15
Entire home/apt,Bos en Lommer,2018-11-18,3
Private room,Watergraafsmeer,2018-11-18,7
Private room,Gaasperdam - Driemond,2018-11-18,12
Entire home/apt,Westerpark,2018-11-18,38
Entire home/apt,De Baarsjes - Oud-West,2018-11-18,28
Private room,Geuzenveld - Slotermeer,2018-11-18,21
Entire home/apt,Gaasperdam - Driemond,2018-11-18,2
Private room,De Aker - Nieuw Sloten,2018-11-18,29
Private room,Bos en Lommer,2018-11-18,28
Private room,Noord-Oost,2018-11-18,16
Entire home/apt,Buitenveldert - Zuidas,2018-11-18,8
Private room,Centrum-West,2018-11-18,40
Entire home/apt,De Aker - Nieuw Sloten,2018-11-18,29
Private room,Bijlmer-Centrum,2018-11-18,15
Private room,Buitenveldert - Zuidas,2018-11-18,2
Entire home/apt,Watergraafsmeer,2018-11-18,12
Entire home/apt,IJburg - Zeeburgereiland,2018-11-18,17
Entire home/apt,Slotervaart,2018-11-18,15
Entire home/apt,Geuzenveld - Slotermeer,2018-11-18,15
Private room,Oud-Oost,2018-11-18,4
Private room,IJburg - Zeeburgereiland,2018-11-18,5
Entire home/apt,Centrum-Oost,2018-11-18,30
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-18,2
Private room,Centrum-Oost,2018-11-18,29
Entire home/apt,Centrum-West,2018-11-18,36
Private room,De Pijp - Rivierenbuurt,2018-11-18,31
Private room,Noord-West,2018-11-18,4
Private room,Osdorp,2018-11-18,18
Entire home/apt,Oud-Noord,2018-11-18,16
Entire home/apt,De Aker - Nieuw Sloten,2018-11-17,15
Private room,Watergraafsmeer,2018-11-17,27
Private room,Geuzenveld - Slotermeer,2018-11-17,13
Private room,Oud-Oost,2018-11-17,6
Entire home/apt,Slotervaart,2018-11-17,7
Private room,De Pijp - Rivierenbuurt,2018-11-17,18
Private room,Buitenveldert - Zuidas,2018-11-17,19
Entire home/apt,De Baarsjes - Oud-West,2018-11-17,57
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-17,13
Entire home/apt,Bijlmer-Oost,2018-11-17,19
Entire home/apt,Bos en Lommer,2018-11-17,14
Private room,De Baarsjes - Oud-West,2018-11-17,17
Entire home/apt,Centrum-West,2018-11-17,41
Entire home/apt,Watergraafsmeer,2018-11-17,24
Entire home/apt,Geuzenveld - Slotermeer,2018-11-17,18
Entire home/apt,Noord-West,2018-11-17,5
Entire home/apt,Noord-Oost,2018-11-17,3
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-17,26
Private room,Centrum-West,2018-11-17,52
Private room,Centrum-Oost,2018-11-17,42
Shared room,De Baarsjes - Oud-West,2018-11-17,4
Private room,Noord-West,2018-11-17,17
Private room,Bos en Lommer,2018-11-17,15
Private room,Noord-Oost,2018-11-17,10
Private room,Bijlmer-Oost,2018-11-17,15
Entire home/apt,Westerpark,2018-11-17,29
Private room,Oud-Noord,2018-11-17,11
Entire home/apt,Zuid,2018-11-17,27
Private room,Westerpark,2018-11-17,36
Private room,De Aker - Nieuw Sloten,2018-11-17,6
Entire home/apt,Bijlmer-Centrum,2018-11-17,25
Private room,Slotervaart,2018-11-17,19
Private room,IJburg - Zeeburgereiland,2018-11-17,1
Entire home/apt,Osdorp,2018-11-17,5
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-17,12
Entire home/apt,IJburg - Zeeburgereiland,2018-11-17,22
Private room,Bijlmer-Centrum,2018-11-17,26
Entire home/apt,Oud-Noord,2018-11-17,22
Shared room,Slotervaart,2018-11-17,6
Entire home/apt,Centrum-Oost,2018-11-17,32
Entire home/apt,Oud-Oost,2018-11-17,16
Private room,Osdorp,2018-11-17,16
Private room,Zuid,2018-11-17,14
Private room,Gaasperdam - Driemond,2018-11-17,5
Private room,Bijlmer-Oost,2018-11-16,15
Entire home/apt,IJburg - Zeeburgereiland,2018-11-16,31
Private room,Centrum-West,2018-11-16,51
Private room,IJburg - Zeeburgereiland,2018-11-16,25
Entire home/apt,De Baarsjes - Oud-West,2018-11-16,87
Private room,Slotervaart,2018-11-16,8
Private room,Gaasperdam - Driemond,2018-11-16,9
Entire home/apt,Osdorp,2018-11-16,23
Entire home/apt,Geuzenveld - Slotermeer,2018-11-16,15
Entire home/apt,Watergraafsmeer,2018-11-16,23
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-16,8
Entire home/apt,Slotervaart,2018-11-16,18
Private room,De Pijp - Rivierenbuurt,2018-11-16,37
Entire home/apt,Bijlmer-Oost,2018-11-16,30
Private room,Bijlmer-Centrum,2018-11-16,3
Entire home/apt,Oud-Noord,2018-11-16,13
Private room,Buitenveldert - Zuidas,2018-11-16,3
Shared room,Slotervaart,2018-11-16,1
Private room,Noord-Oost,2018-11-16,5
Private room,Geuzenveld - Slotermeer,2018-11-16,8
Entire home/apt,De Aker - Nieuw Sloten,2018-11-16,18
Private room,Bos en Lommer,2018-11-16,15
Private room,Oud-Oost,2018-11-16,10
Entire home/apt,Bijlmer-Centrum,2018-11-16,6
Entire home/apt,Centrum-Oost,2018-11-16,38
Entire home/apt,Bos en Lommer,2018-11-16,39
Private room,Centrum-Oost,2018-11-16,62
Entire home/apt,Westerpark,2018-11-16,46
Private room,Oud-Noord,2018-11-16,23
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-16,90
Private room,Osdorp,2018-11-16,29
Entire home/apt,Noord-Oost,2018-11-16,3
Entire home/apt,Oud-Oost,2018-11-16,27
Private room,De Baarsjes - Oud-West,2018-11-16,42
Private room,De Aker - Nieuw Sloten,2018-11-16,23
Private room,Watergraafsmeer,2018-11-16,15
Shared room,Bos en Lommer,2018-11-16,9
Entire home/apt,Zuid,2018-11-16,61
Entire home/apt,Centrum-West,2018-11-16,65
Private room,Noord-West,2018-11-16,11
Private room,Westerpark,2018-11-16,17
Private room,Zuid,2018-11-16,36
Entire home/apt,Buitenveldert - Zuidas,2018-11-16,2
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-16,17
Entire home/apt,Noord-West,2018-11-16,16
Private room,Oud-Oost,2018-11-15,34
Private room,Bos en Lommer,2018-11-15,23
Shared room,Bos en Lommer,2018-11-15,11
Shared room,Oud-Noord,2018-11-15,1
Private room,Zuid,2018-11-15,22
Private room,De Baarsjes - Oud-West,2018-11-15,38
Shared room,Westerpark,2018-11-15,6
Private room,Oostelijk Havengebied - Indische Buurt,2018-11-15,25
Entire home/apt,Slotervaart,2018-11-15,20
Entire home/apt,Bijlmer-Oost,2018-11-15,25
Private room,Oud-Noord,2018-11-15,38
Shared room,Centrum-Oost,2018-11-15,1
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-11-15,54
Entire home/apt,De Baarsjes - Oud-West,2018-11-15,124
Entire home/apt,Bijlmer-Centrum,2018-11-15,4
Private room,Geuzenveld - Slotermeer,2018-11-15,3
Entire home/apt,Oud-Oost,2018-11-15,61
Entire home/apt,Buitenveldert - Zuidas,2018-11-15,4
Entire home/apt,Centrum-West,2018-11-15,66
Entire home/apt,Watergraafsmeer,2018-11-15,15
Private room,Centrum-West,2018-11-15,74
Entire home/apt,IJburg - Zeeburgereiland,2018-11-15,9
Private room,Watergraafsmeer,2018-11-15,15
Entire home/apt,Bos en Lommer,2018-11-15,45
Private room,Centrum-Oost,2018-11-15,43
Private room,Noord-Oost,2018-11-15,17
Private room,Gaasperdam - Driemond,2018-11-15,9
Private room,Bijlmer-Oost,2018-11-15,19
Entire home/apt,Westerpark,2018-11-15,69
Entire home/apt,Zuid,2018-11-15,55
Entire home/apt,Osdorp,2018-11-15,24
Entire home/apt,Oud-Noord,2018-11-15,35
Entire home/apt,Centrum-Oost,2018-11-15,58
Private room,Bijlmer-Centrum,2018-11-15,8
Private room,Westerpark,2018-11-15,27
Private room,IJburg - Zeeburgereiland,2018-11-15,32
Entire home/apt,De Aker - Nieuw Sloten,2018-11-15,14
Entire home/apt,De Pijp - Rivierenbuurt,2018-11-15,76
Private room,Noord-West,2018-11-15,17
Private room,Osdorp,2018-11-15,13
